id,BRAND,SET,CHOICE,FASH,QUAL,PRICE
1,1,1,0,0,0,0.1200000
1,2,1,1,1,0,0.1200000
1,3,1,0,0,1,0.0800000
1,0,1,0,0,0,0
1,1,2,1,1,1,0.1200000
1,2,2,0,0,1,0.1200000
1,3,2,0,1,0,0.1200000
1,0,2,0,0,0,0
1,1,3,0,0,1,0.0800000
1,2,3,0,1,1,0.2000000
1,3,3,1,1,0,0.0800000
1,0,3,0,0,0,0
1,1,4,0,0,0,0.0800000
1,2,4,1,0,1,0.1600000
1,3,4,0,1,1,0.2000000
1,0,4,0,0,0,0
1,1,5,1,0,0,0.0400000
1,2,5,0,1,0,0.1200000
1,3,5,0,1,0,0.0800000
1,0,5,0,0,0,0
1,1,6,0,0,0,0.0800000
1,2,6,0,0,1,0.1200000
1,3,6,1,1,0,0.0800000
1,0,6,0,0,0,0
1,1,7,0,1,1,0.2000000
1,2,7,1,0,0,0.0800000
1,3,7,0,0,1,0.0800000
1,0,7,0,0,0,0
1,1,8,0,0,1,0.0800000
1,2,8,1,1,0,0.1200000
1,3,8,0,0,0,0.0400000
1,0,8,0,0,0,0
2,1,1,0,0,0,0.1200000
2,2,1,0,1,0,0.1200000
2,3,1,1,0,1,0.0800000
2,0,1,0,0,0,0
2,1,2,1,1,1,0.1200000
2,2,2,0,0,1,0.1200000
2,3,2,0,1,0,0.1200000
2,0,2,0,0,0,0
2,1,3,1,0,1,0.0800000
2,2,3,0,1,1,0.2000000
2,3,3,0,1,0,0.0800000
2,0,3,0,0,0,0
2,1,4,1,0,0,0.0800000
2,2,4,0,0,1,0.1600000
2,3,4,0,1,1,0.2000000
2,0,4,0,0,0,0
2,1,5,0,0,0,0.0400000
2,2,5,0,1,0,0.1200000
2,3,5,0,1,0,0.0800000
2,0,5,1,0,0,0
2,1,6,0,0,0,0.0800000
2,2,6,1,0,1,0.1200000
2,3,6,0,1,0,0.0800000
2,0,6,0,0,0,0
2,1,7,0,1,1,0.2000000
2,2,7,0,0,0,0.0800000
2,3,7,1,0,1,0.0800000
2,0,7,0,0,0,0
2,1,8,0,0,1,0.0800000
2,2,8,0,1,0,0.1200000
2,3,8,0,0,0,0.0400000
2,0,8,1,0,0,0
3,1,1,0,0,0,0.1200000
3,2,1,0,1,0,0.1200000
3,3,1,1,0,1,0.0800000
3,0,1,0,0,0,0
3,1,2,1,1,1,0.1200000
3,2,2,0,0,1,0.1200000
3,3,2,0,1,0,0.1200000
3,0,2,0,0,0,0
3,1,3,0,0,1,0.0800000
3,2,3,1,1,1,0.2000000
3,3,3,0,1,0,0.0800000
3,0,3,0,0,0,0
3,1,4,1,0,0,0.0800000
3,2,4,0,0,1,0.1600000
3,3,4,0,1,1,0.2000000
3,0,4,0,0,0,0
3,1,5,1,0,0,0.0400000
3,2,5,0,1,0,0.1200000
3,3,5,0,1,0,0.0800000
3,0,5,0,0,0,0
3,1,6,0,0,0,0.0800000
3,2,6,1,0,1,0.1200000
3,3,6,0,1,0,0.0800000
3,0,6,0,0,0,0
3,1,7,0,1,1,0.2000000
3,2,7,0,0,0,0.0800000
3,3,7,1,0,1,0.0800000
3,0,7,0,0,0,0
3,1,8,1,0,1,0.0800000
3,2,8,0,1,0,0.1200000
3,3,8,0,0,0,0.0400000
3,0,8,0,0,0,0
4,1,1,0,0,0,0.1200000
4,2,1,0,1,0,0.1200000
4,3,1,1,0,1,0.0800000
4,0,1,0,0,0,0
4,1,2,0,1,1,0.1200000
4,2,2,0,0,1,0.1200000
4,3,2,0,1,0,0.1200000
4,0,2,1,0,0,0
